year,female,male,unknown
2013,37,94,41
2014,139,270,148
2015,154,229,97
2016,157,224,93
2017,179,200,71
2018,178,185,61
2019,246,233,48
2020,139,146,27
2021,195,196,43
2022,200,179,40
2023,270,224,53
2024,349,274,64
2025,107,97,23
