coroner_name,count
Ms Deborah Archer,5
Miss Kirsty Gomersal,5
Ms Joy Michelle Brown OBE,5
Miss Elizabeth Dudley-Jones,5
Mr John C Taylor,5
Mr Alan Moore,5
Andrew McNamara,5
Mr Nicholas Moss QC,5
Mr Delroy Henry,5
Miss Fiona Butler,5
Ms jessica russell-mitra,5
Mr Stephen Simblet KC,5
Ian Brownhill,5
Mr Stephen Covell,5
Ms Melanie Lee,5
Miss Isobel Thistlethwaite,5
Jane Gillespie,5
Mrs Sarah L. Whitby,4
Richard A Hulett,4
Mrs Victoria Davies,4
Mrs Marilyn Whittle,4
Richard Furniss,4
Mrs Rebecca Ollivere,4
Mrs Deborah Suzanne Rookes,4
Mr Graham Rollason Danbury,4
Mr Peter Taheri,4
Mr Peter Sigee,4
Miss Miss Briony Ballard,4
Mrs Charlotte Keighley,4
Miss Georgina Nolan,4
Ms Johanna Thompson,4
Mr Paul Kelly,4
"Mr Michael J C Burgess CVO, OBE",4
Michael Spencer,4
Miss Sophie Cartwright KC,4
Dr Peter Henry Straker,4
Ms Katy Ainge,4
Mr Dewi Pritchard Jones,4
Mr James Newman,4
Mrs kirsten heaven,4
Mr Heath Westerman,4
Ms Fiona Borrill,4
Mr Rob Turnbull,4
Mr Jonathan David Leach,4
Ms Heather Williams,3
Christina Swann,3
Ms Gilva Dagmar Jane Tisshaw,3
Mrs Angela Carol Brocklehurst,3
Mr Paul John Rogers,3
Miss Lorna Jane Skinner QC,3
Ms Gemma Brannigan,3
Ms Catherine Cundy,3
Mr Scott Matthewson,3
Mr Thomas Richard Geoffrey Leeper,3
Christopher Sutton-Mattocks,3
Ms Jenny Goldring,3
Andrew Thompson,3
Mr Sheriff S Payne,3
Anthony Howard,3
Mr Philip Anthony Holden,3
Miss Karin Elizabeth Welsh,3
Ms Rebecca Margaret COBB,3
Paul O'Donnell,3
Mrs Hannah Victoria Berry,3
Mrs Krestina Hayes,3
Ms Vanessa McKinlay,3
Philip Sharp,3
Ms Katrina Hepburn,3
Ms Alexandra Pountney,3
Mrs LINDA KAREN HADFIELD LEE,3
Claire Balysz,3
Ms Kally Cheema,3
Mr Alan James Blunsdon,3
Mr Adam Smith,3
HHJ Mark Lucraft QC,3
Miss Caroline Margaret Jones,3
Mr Jonathan Dixey,3
Miss Susan Evans,3
Ms Allison SUMMERS,3
Gail Elliman,3
Claire Hammond,3
Mr Nicholas H Lane,3
Mr Nicholas Graham,3
Mr Neil Cameron,3
Mr Michael Wall,3
Dr Leslie Hamilton,3
Ms Sophie Lomas,3
Mr David Heming,3
Miss Sarah Riley,3
Ms Susan Ridge,2
Ms Myfanwy Buckeridge,2
Mrs Priya Malhotra,2
William R Morris,2
Mrs Laura May Bradford,2
Mrs Rosamund Rhodes-Kemp,2
Mr james puzey,2
Mrs Sally Anne Robinson,2
Ms Rebecca Anne Mundy,2
Ms Angharad Davies,2
Mrs Alison Norton,2
Raymond Curtis,2
Sara Lewis,2
Sarah Huntbach,2
Rosemary Jane Baxter,2
Mrs Claire Welch,2
Mrs Deborah Rachel Lakin,2
Mrs Elizabeth Wheeler,2
Ms Elizabeth Gray,2
Ms Marianne Johnson,2
Ms KATY THORNE KC,2
Timothy H Ratcliffe,2
Mrs Jo Wharton,2
Tony Murphy,2
William Coverdale,2
Ms Leila Benyounes,2
Ms Fiona King,2
Wm J Armstrong OBE,2
Mr Xavier Mooyaart,2
David Skipp,2
Dr Edward Patrick Morgan KC,2
Mr Harry Nathaniel Lambert,2
Dr Jeane Rosa Mellani,2
Mr Gareth jones,2
Mr Gareth Lewis,2
Dr Murray James Spittal,2
Mr Duncan Ritchie,2
Mr David Manknell KC,2
Dr Rashid Sohail,2
Mr Christopher John Long,2
Mr Christopher Briggs,2
Mr Anthony Mazzag,2
Mr Andrew David Cousins,2
Miss Sarah Watson,2
Miss Louise E Rae,2
Ian Boyes,2
Miss Janine Wolstenholme,2
Janet Napier,2
Miss Amanda Jane Bewley,2
Michael Oakley,2
John Woolley,2
Julian Fox,2
Maria Mulrennan,2
Dr Anton van Dellen,2
Mr Edward Ramsay,2
Karon Monaghan,2
Mr Matthew Kewley,2
Mr Keith Morton QC,2
Mr RAVI SIDHU,2
Anthony Eastwoods,2
Anthony Curzon,2
Alison Longhorn,2
Angela Hodes,2
Mr James Jerome Dillon,2
Mr Tom Stoate,2
Mr Lincoln Brookes,2
Fiona Malek,1
Geoffrey Tomalin,1
HH Judge Munro QC,1
Hugh Gregory,1
HHJ Keith Cutler CBE,1
HHJ Loraine-Smith,1
Henrietta Hills QC,1
C W Malcolm Donnelly,1
J Hamilton,1
Barrie Van den Berg,1
Ian Goldup,1
Eric Armstrong,1
J Robinson,1
Ms Louise Wiltshire,1
Joan Broadbridge,1
Ms Leanne Woods,1
John Sleightholme,1
Trevor Kirkland,1
Alison Owen,1
Sir Adrian Fulford,1
David James,1
Elizabeth Pygott,1
Siobhan Kelly,1
Rachael Griffith,1
R Mahmood,1
Dr Daniel Sharpstone,1
Dame Linda Dobbs,1
Rt Hon Sir Ernest Ryder,1
Philip Rogers,1
Dr M D Dominic Bell,1
Samuel James Faulks,1
Clement Goldstone,1
Neil Joseph Cronin,1
N G Gardiner,1
Dr Marc Lindsey Leeming,1
Kate Bisset,1
Cdr. Richard Marshall RN,1
Dr Nick Armstrong KC,1
Ms Susanna Rickard,1
Sian Scott Jones,1
Dr Sam Bass,1
Dr Sean Cummings,1
Edward Solomons,1
Simon Allen,1
Elaine Moloney,1
Simon Ward,1
Ms Samantha Broadfoot,1
Miss Georgina Gibbs,1
Kevin Paul Sutton,1
Mr Joseph Hart,1
Mr Edward Steele,1
Mr Gavin Knox,1
Mr Geoff L Fell,1
Mr Geoffrey M. Saul,1
Mrs Katy Dickinson,1
Mr Ian Christopher James Dreelan,1
Mr Ivan Cartwright,1
Mrs Julie Mitchell,1
Mr Jacques Howell,1
Mr Jake Taylor,1
Mr James Hargan,1
Mr John Joseph Buckley,1
Mr John Matthews,1
Mrs Emma Hillson,1
Laura Wendy Johnson,1
Mr Joseph Turner,1
Mr Martin Douglas Oldham,1
Mr Michael James Pemberton,1
Mr Michael Louis Sheridan Mellun,1
Mr Michael Walsh,1
Mr Nicholas Mark Flanagan,1
Mr Nick Seán Stanage,1
Mr Paul B Matthews,1
Mr Richard G Taylor,1
Mr Roland John Taylor Wooderson,1
Mr Simon Brenchley,1
Mr Simon Nicholas Burge,1
Mr Tim Deeming,1
Mrs Michaela Amy Blackmore,1
Mrs Patricia Claire Morgan,1
Mr Edmund Gritt,1
Mrs Rebecca Sutton,1
Martin Gotheridge,1
Michael Kendall,1
Ms Jan Alam,1
Michael Snell,1
Miss Clare Doherty,1
Ms Hannah Hinton,1
Mr Tony Badenoch,1
Ms Fleur Hallett,1
Miss Jayne Wilkes,1
Miss Kelly Elizabeth Dixon,1
Miss Kerrie Burge,1
Miss Laura Nash,1
Miss Michelle Haste,1
Miss Naomi Rees,1
Miss Neena Sharma,1
Miss Sarah Clarke,1
Miss Sarah Jane Wood,1
Ms Amy Street,1
Miss ana samuel,1
Mr Alexander Miles Frodsham,1
Mr Andrew M Bradley,1
Mr Bernard Richmond QC,1
Mr Craig Smith,1
Mr D T Bowen,1
Mr DAVID MORRIS,1
Mr Daniel Howe,1
Mr David Place,1
Alan Anthony,1
